   Semestr |    Zapsáno |   Známka 1 |   Známka 2 |   Známka 3 |   Známka 4 | Se zápočtem
LS 2005/06 |         79 |         32 |         21 |         11 |          0 |         64
LS 2006/07 |         91 |         36 |         23 |         15 |          1 |         75
LS 2007/08 |        104 |         34 |         30 |         18 |          1 |         83
LS 2008/09 |        105 |         39 |         24 |         16 |          0 |         79
LS 2009/10 |         92 |         32 |         29 |         18 |          1 |         80
LS 2010/11 |         92 |         32 |         31 |         15 |          4 |         82
LS 2011/12 |         75 |         24 |         24 |          9 |          2 |         59
LS 2012/13 |         57 |         22 |         14 |          7 |          1 |         44
LS 2013/14 |         58 |         23 |         16 |          6 |          1 |         46
LS 2014/15 |         46 |         19 |         10 |          8 |          0 |         37
LS 2015/16 |         51 |         13 |         18 |         12 |          1 |         44
LS 2016/17 |         51 |         20 |          8 |         14 |          1 |         43
LS 2017/18 |         32 |          9 |          7 |          5 |          0 |         21
LS 2018/19 |         28 |         10 |          3 |          7 |          0 |         20
LS 2019/20 |         44 |         20 |          9 |          9 |          0 |         38
